Fecha/hora inicio,Temperatura almacén principal (inicio),Humedad almacén principal (inicio),Temperatura almacén producción (inicio),Humedad almacén producción (inicio),Fecha/hora fin,Temperatura almacén principal (fin),Humedad almacén principal (fin),Temperatura almacén producción (fin),Humedad almacén producción (fin)
2023-03-21 07:00:00,20.60908508,35.333641,20.13707924,50.86805344,2023-03-23 06:00:00,19.70124054,42.82769012,20.20399284,52.75969315
2023-03-21 07:00:00,20.60908508,35.333641,20.13707924,50.86805344,2023-03-23 06:00:00,19.70124054,42.82769012,20.20399284,52.75969315
2023-03-22 07:00:00,20.47525787,36.64279556,20.00144577,52.35821533,2023-03-24 06:00:00,20.35590363,32.89525118,20.2510128,49.51533508
2023-03-22 07:00:00,20.47525787,36.64279556,20.00144577,52.35821533,2023-03-24 06:00:00,20.35590363,32.89525118,20.2510128,49.51533508
2023-03-28 07:00:00,20.54624286,34.78009033,20.34143448,49.78298569,2023-03-30 10:00:00,19.19907264,34.30063791,19.79709244,47.63093185
2023-03-28 07:00:00,20.54624286,34.78009033,20.34143448,49.78298569,2023-03-30 07:00:00,19.28530121,29.53920746,20.40653992,47.88772964
2023-03-29 07:00:00,21.9820438,35.86154556,20.25824547,49.78298569,2023-03-31 07:00:00,19.57103729,37.70708489,20.40653992,49.85060817
2023-03-29 07:00:00,21.9820438,35.86154556,20.25824547,49.78298569,2023-03-31 08:00:00,19.30338287,36.8019371,20.34143448,50.18807602
2023-04-04 11:00:00,21.40118408,27.14996695,20.40653992,43.5655365,2023-04-06 12:00:00,22.31173395,24.41767883,20.06655121,39.38440323
2023-04-04 11:00:00,21.40118408,27.14996695,20.40653992,43.5655365,2023-04-06 13:00:00,21.92201996,24.16087914,20.32154274,39.24695969
2023-04-18 07:00:00,23.35792542,35.57580948,20.00144577,49.5370369,2023-04-20 07:00:00,23.24580383,29.79600716,20.34143448,44.921875
2023-04-18 07:00:00,23.35792542,35.57580948,20.00144577,49.5370369,2023-04-20 07:00:00,23.24580383,29.79600716,20.34143448,44.921875
2023-04-18 07:00:00,23.35792542,35.57580948,20.00144577,49.5370369,2023-04-20 07:00:00,23.24580383,29.79600716,20.34143448,44.921875
2023-04-18 07:00:00,23.35792542,35.57580948,20.00144577,49.5370369,2023-04-20 09:00:00,23.64727783,29.54282379,20.20399284,45.75014496
2023-04-25 12:00:00,22.18945876,42.95428085,20.61631966,52.61863327,2023-04-27 13:00:00,21.14438629,47.45303535,19.86762047,53.84837723
2023-04-25 12:00:00,22.18945876,42.95428085,20.61631966,52.61863327,2023-04-27 13:00:00,21.14438629,47.45303535,19.86762047,53.84837723
2023-04-25 08:00:00,18.90914154,45.68781826,20.1171875,52.6222496,2023-04-27 10:00:00,19.943573,50.90060806,19.93634224,55.15094798
2023-05-22 07:00:00,21.40480042,35.57219315,20.294487,53.30945969,2023-05-24 10:00:00,21.66159821,45.63257621,20.42650414,53.13946533
2023-05-23 08:00:00,20.61270142,46.30815887,19.97326547,49.49363327,2023-05-25 11:00:00,21.39033302,47.5234375,20.49884224,53.41073227
2023-05-23 08:00:00,20.61270142,46.30815887,19.97326547,49.49363327,2023-05-25 10:00:00,21.15366802,47.72124762,20.33246422,53.26967621
2023-05-30 12:00:00,21.14480647,45.66796875,20.08651543,53.14308548,2023-06-01 12:00:00,22.17881775,45.11458206,20.4283123,51.79397964
2023-05-30 07:00:00,20.83545511,46.84707642,20.2890625,52.87905121,2023-06-01 07:00:00,20.87311554,47.60300827,20.49884224,51.79397964
2023-05-31 07:00:00,20.61993408,46.59751129,20.42650414,53.94965363,2023-06-02 09:00:00,20.98886108,46.85430908,20.15885353,54.63324738
2023-06-06 09:00:00,20.42838913,48.44212723,20.15885353,51.92419052,2023-06-08 14:00:00,20.61270142,47.24493408,20.294487,54.82158361
2023-06-12 08:00:00,21.54224396,49.15692378,20.29267883,51.92419052,2023-06-14 10:00:00,20.75376129,49.34635162,20.08651543,48.54238892
2023-06-12 08:00:00,21.54224396,49.15692378,20.29267883,51.92419052,2023-06-14 08:00:00,21.29267883,48.97064012,20.22395706,51.2442131
2023-06-13 08:00:00,21.17466579,48.7676506,20.15885353,52.73799133,2023-06-15 09:00:00,20.81356297,47.20549028,20.22395706,52.60416412
2023-06-13 08:00:00,21.17466579,48.7676506,20.15885353,52.73799133,2023-06-15 08:00:00,21.00694275,48.10214233,20.49341774,51.64930344
2023-06-20 07:00:00,21.6796875,49.93590927,20.15885353,49.63830948,2023-06-22 09:00:00,19.82421875,53.68663025,20.0214119,49.8332293
2023-06-20 07:00:00,21.6796875,49.93590927,20.15885353,49.63830948,2023-06-22 09:00:00,19.82421875,53.68663025,20.0214119,49.8332293
2023-06-21 08:00:00,19.70485687,53.83130646,20.29629517,48.89979097,2023-06-23 08:00:00,19.43721008,52.76070404,20.15885353,49.229599
2023-06-21 08:00:00,19.70485687,53.83130646,20.29629517,48.89979097,2023-06-23 10:00:00,20.22207642,53.16218185,20.08651543,52.19907379
2023-06-26 08:00:00,19.97251129,51.53819275,20.22395706,51.93142319,2023-06-28 07:00:00,19.89725744,51.94690323,20.2275753,53.13946533
2023-06-27 08:00:00,19.93995667,51.00289154,20.3614006,49.63830948,2023-06-29 08:00:00,20.22569275,52.48582077,20.49703407,53.00925827
2023-06-27 08:00:00,19.93995667,51.00289154,20.3614006,49.63830948,2023-06-29 08:00:00,20.22569275,52.48582077,20.49703407,53.00925827
2023-07-03 09:00:00,20.08824921,54.37746048,20.36320877,49.68705628,2023-07-05 08:00:00,19.46614838,54.50043488,20.42650414,49.15795115
2023-07-03 09:00:00,20.08824921,54.37746048,20.36320877,49.68705628,2023-07-05 09:00:00,19.44444275,54.90190887,20.19683075,51.1175535
2023-07-04 07:00:00,19.3369178,53.66546938,20.22395706,53.28052521,2023-07-06 08:00:00,19.07387702,54.25280732,20.09194183,49.23321533
2023-07-04 07:00:00,19.3369178,53.66546938,20.22395706,53.28052521,2023-07-06 08:00:00,19.07387702,54.25280732,20.09194183,49.23321533
2023-07-10 08:00:00,19.85151679,57.58564758,20.0214119,49.36342621,2023-07-12 12:00:00,22.59114838,59.47265625,20.3614006,50.95718545
2023-07-11 08:00:00,20.22207642,57.31799698,20.15885353,47.74305344,2023-07-13 08:00:00,19.81698608,57.33868408,20.49703407,51.42082977
2023-07-11 08:00:00,20.22207642,57.31799698,20.15885353,47.74305344,2023-07-13 09:00:00,19.95080566,56.67317581,20.49884224,52.83558816
2023-07-17 07:00:00,19.70485687,52.11588287,20.29629517,48.95833206,2023-07-19 10:00:00,21.79588183,54.11964798,20.49884224,46.96228786
2023-07-18 08:00:00,19.82783508,51.4245899,20.3614006,48.27835464,2023-07-20 08:00:00,20.48249054,51.31655121,20.29629517,47.20775223
2023-07-18 07:00:00,19.7157135,50.90060806,20.15885353,47.90219879,2023-07-20 08:00:00,20.48249054,51.31655121,20.29629517,47.20775223
2023-07-24 09:00:00,19.53194026,54.72612603,20.09013367,50.38859801,2023-07-26 09:00:00,19.58911896,51.182724,20.09013367,50.62654622
2023-07-25 07:00:00,19.77155642,50.62934113,20.29629517,49.65526804,2023-07-27 08:00:00,19.47678766,53.06118604,20.18959808,48.62369575
2023-07-25 07:00:00,19.77155642,50.62934113,20.29629517,49.65526804,2023-07-27 08:00:00,19.47678766,53.06118604,20.18959808,48.62369575
2023-07-31 09:00:00,19.81698608,50.92954254,20.44277954,48.40856552,2023-08-02 10:00:00,20.47382643,54.00881439,20.29629517,51.78905476
2023-07-31 09:00:00,19.81698608,50.92954254,20.44277954,48.40856552,2023-08-02 10:00:00,20.47382643,54.00881439,20.29629517,51.78905476
2023-08-01 07:00:00,20.08824921,54.81704899,20.42650414,51.15445154,2023-08-03 07:00:00,20.03038025,50.63295746,20.0214119,49.58646968
2023-09-04 12:00:00,20.13295235,48.14247193,20.42650414,48.27835464,2023-09-06 12:00:00,21.64511432,46.86053085,20.30674636,47.69214479
2023-09-04 08:00:00,20.48610687,49.27300262,20.2890625,50.5859375,2023-09-06 09:00:00,19.03573608,47.55136108,20.294487,54.69684961
