24054|1934.7097
24055|1898.5781
24056|1988.5072
24057|1446.3473
24058|1829.972
24059|1742.247
24060|1823.3999
24061|1524.6743
24062|1897.9137
24063|1320.5726
24064|1339.8634
24065|1467.5337
24066|1743.1464
24067|1612.3881
24068|1746.9825
24069|1346.7214
24070|1730.6758
24071|1516.343
24072|1509.2489
24073|1072.8799
24074|1636.6069
24075|1610.6504
24076|1555.6094
24077|1573.64
24078|1463.1284
24079|1858.5022
24080|1689.0807
24081|1881.9927
24082|1804.7584
24083|1592.3226
24084|1537.3289
24085|1715.7609
24086|1480.2266
24087|1656.85
24088|1490.1077
24089|1472.477
24090|1368.5643
24091|2000.0662
24092|966.1674
24093|1470.2094
24094|1710.2526
24095|1701.8274
24096|1568.04
24097|1764.9598
24098|1298.3918
24099|1697.2583
24100|1591.5613
24101|1496.207
24103|1670.7961
24104|1740.1831
24105|1951.5918
24106|1983.6841
24107|1896.1846
24108|1409.0974
24109|1545.1934
24110|1682.6663
